param,Parent,C0-13,C1-13,O2-18,H3-2,H4-2,H5-2,H6-2,unit
theta_b,0.9205061977077537,0.9210006521996834,0.9223032093022263,0.9158530450157304,0.9230579392913403,0.9727108597432279,0.8899625344526338,0.8899375953085484,rad
theta_c,0.9999999999999697,0.9999999999999749,0.9999999999999741,0.9999999999999679,0.9999999999999999,0.9999999994293856,0.9922258097120373,0.9922312558014253,rad
theta_a,22.387063137839096,22.32020306952487,22.14293158083,23.00503676271572,22.039448550728373,13.293804307682738,27.08428100736936,27.086316097933604,deg
theta_b,52.74112014428922,52.769450299838084,52.844081324388576,52.47451413360635,52.887324167436766,55.73222694982873,50.99109714890204,50.98966824120128,deg
theta_c,57.29577951308059,57.29577951308089,57.29577951308084,57.29577951308049,57.295779513082316,57.295779480388525,56.85035122045047,56.85066325838725,deg
rho,0.3313785281538884,0.32521985238496065,0.33098265440719327,0.3261151245711002,0.26450355200277925,0.3957492398786622,0.38831829256095735,0.3883186309166235,
F,230823.93982322578,228961.51267427686,230754.3797002684,228729.09166520493,211869.19456325073,196037.0929776655,186298.2010269451,186296.853913642,MHz
A_ram,56685.68508584902,55592.35085256102,56532.54441626549,56072.59766594715,44987.29121353892,48625.64964372175,52224.59066331915,52225.69240742283,MHz
B_ram,10097.55152714237,10093.520341033061,9793.420732893643,9612.287282175774,10076.562695504488,9819.43889373607,9340.588164921663,9340.562601468242,MHz
C_ram,9076.5140143055,9045.728037016503,8824.930242692064,8668.790198293424,8712.67057783438,8613.759541203372,8566.667026922856,8566.592921323874,MHz
D_ab,4282.032450784462,4265.12004789728,4100.074159653803,4210.099415849606,4193.056692384187,2341.324428414825,4825.188656948473,4825.7945009137675,MHz
D_bc,1.6271043664738374e-05,1.5264402034016397e-05,1.3561142511097154e-05,1.5364522517108063e-05,-6.329008764950455e-08,0.0014513111683775216,-9.91365290012896,9.911108314133273,MHz
D_ac,-0.002421834175687916,-0.0021948438332326597,-0.002161559482380871,-0.002390793751161655,6.076344416107837e-06,-0.29869269319388797,1202.877218865532,-1202.4717122039585,MHz
F,7.6994578637207,7.637333981039538,7.697137587773085,7.6295812506799265,7.067195618485196,6.5390935544371,6.214239086259639,6.21419415139663,cm-1
